Value,Value Description,Category ,Category Description,,Symbol,Breadth,,,,,,,,,,,,,,,,
Ambitious,"Hard working, aspiring",Achievement,Personal success through demonstrating competence according to social standards.,,,Individual,,,,,"<div class=""swiper-slide""><h4>",Cultural Values,"</h4><br><h1 class=""values_badge"" style=""background: #ffcc99;"">",Fm,</h1><br><h2>,Family,</h2><br><p>,People are supposed to look after themselves and their immediate family only.,</p></div>,,,Fm
Capable,"Competent, effective, efficient",Achievement,Personal success through demonstrating competence according to social standards.,,,Individual,,,,,"<div class=""swiper-slide""><h4>",Cultural Values,"</h4><br><h1 class=""values_badge"" style=""background: #ffcc99;"">",Id,</h1><br><h2>,Individualist,</h2><br><p>,People are supposed to look after themselves only.,</p></div>,,,Id
Influential,Having an impact on people and events,Achievement,Personal success through demonstrating competence according to social standards.,,,Individual,,,,,"<div class=""swiper-slide""><h4>",Cultural Values,"</h4><br><h1 class=""values_badge"" style=""background: #ffcc99;"">",Co,</h1><br><h2>,Collective,</h2><br><p>,People belong to in-groups and are supposed to look after them in exchange for loyalty.,</p></div>,,,Co
Intelligent,"Logical, thinking",Achievement,Personal success through demonstrating competence according to social standards.,,,Individual,,,,,"<div class=""swiper-slide""><h4>",Cultural Values,"</h4><br><h1 class=""values_badge"" style=""background: #ffcc99;"">",Fo,</h1><br><h2>,Focused,</h2><br><p>,Attention and effort is directed towards primary concerns like family or achievement.,</p></div>,,,Fo
Successful,Achieving goals,Achievement,Personal success through demonstrating competence according to social standards.,,,Individual,,,,,"<div class=""swiper-slide""><h4>",Cultural Values,"</h4><br><h1 class=""values_badge"" style=""background: #ffcc99;"">",Ec,</h1><br><h2>,Eclectic,</h2><br><p>,Activities and endeavors are wide-ranging and cultivate individual or outside interests.,</p></div>,,,Ec
A Spiritual Life,Emphasis on spiritual not material matters,Benevolence,Preservation and enhancement of the welfare of people with whom one is in frequent personal contact.,,,Individual,,,,,"<div class=""swiper-slide""><h4>",Cultural Values,"</h4><br><h1 class=""values_badge"" style=""background: #ffcc99;"">",Ps,</h1><br><h2>,Prestige,</h2><br><p>,Concerned with the high-status aspects of culture.,</p></div>,,,Ps
Forgiving,Willing to pardon others,Benevolence,Preservation and enhancement of the welfare of people with whom one is in frequent personal contact.,,,Individual,,,,,"<div class=""swiper-slide""><h4>",Cultural Values,"</h4><br><h1 class=""values_badge"" style=""background: #ffcc99;"">",Fr,</h1><br><h2>,Familiar,</h2><br><p>,"Largely interested in things that are familiar, accessible, and comfortable.",</p></div>,,,Fr
Helpful,Working for the welfare of others,Benevolence,Preservation and enhancement of the welfare of people with whom one is in frequent personal contact.,,,Individual,,,,,"<div class=""swiper-slide""><h4>",Cultural Values,"</h4><br><h1 class=""values_badge"" style=""background: #ffcc99;"">",In,</h1><br><h2>,Indulgence,</h2><br><p>,Indulging freely in desires and impulses.,</p></div>,,,In
Honest,"Genuine, sincere",Benevolence,Preservation and enhancement of the welfare of people with whom one is in frequent personal contact.,,,Individual,,,,,"<div class=""swiper-slide""><h4>",Cultural Values,"</h4><br><h1 class=""values_badge"" style=""background: #ffcc99;"">",Re,</h1><br><h2>,Restraint,</h2><br><p>,Maintaining strong control over desires and impulses. ,</p></div>,,,Re
Loyal,"Faithful to my friends, group",Benevolence,Preservation and enhancement of the welfare of people with whom one is in frequent personal contact.,,,Individual,,,,,"<div class=""swiper-slide""><h4>",Cultural Values,"</h4><br><h1 class=""values_badge"" style=""background: #ffcc99;"">",Td,</h1><br><h2>,Traditional,</h2><br><p>,Preferring time-honored traditions and norms or viewing societal change with suspicion.,</p></div>,,,Td
Mature Love,Deep emotional and spiritual intimacy,Benevolence,Preservation and enhancement of the welfare of people with whom one is in frequent personal contact.,,,Individual,,,,,"<div class=""swiper-slide""><h4>",Cultural Values,"</h4><br><h1 class=""values_badge"" style=""background: #ffcc99;"">",Ty,</h1><br><h2>,Trendy,</h2><br><p>,"Aspirational, geared towards excitement, or the opportunity to be part of newness or novelty.",</p></div>,,,Ty
Meaning in Life,A purpose in life,Benevolence,Preservation and enhancement of the welfare of people with whom one is in frequent personal contact.,,,Individual,,,,,"<div class=""swiper-slide""><h4>",Cultural Values,"</h4><br><h1 class=""values_badge"" style=""background: #ffcc99;"">",Pr,</h1><br><h2>,Practical,</h2><br><p>,"Emphasizing immediate gains through technique, thrift, a hands-on approach, and education as ways to prepare for the future.",</p></div>,,,Pr
Responsible,"Dependable, reliable",Benevolence,Preservation and enhancement of the welfare of people with whom one is in frequent personal contact.,,,Individual,,,,,"<div class=""swiper-slide""><h4>",Cultural Values,"</h4><br><h1 class=""values_badge"" style=""background: #ffcc99;"">",Fa,</h1><br><h2>,Fantastic,</h2><br><p>,"Engaging in futuristic and fantasy-based ideas, activities, methods, and technologies.",</p></div>,,,Fa
True Friendship,"Close, supportive friends",Benevolence,Preservation and enhancement of the welfare of people with whom one is in frequent personal contact.,,,Individual,,,,,"<div class=""swiper-slide""><h4>",Cultural Values,"</h4><br><h1 class=""values_badge"" style=""background: #ffcc99;"">",Ac,</h1><br><h2>,Achievement ,</h2><br><p>,"Motivated by competition, achievement, action, opportunity, and success.",</p></div>,,,Ac
Honoring of Elders,Showing respect,Conformity,"Restraint of actions, inclinations, and impulses likely to upset or harm others and violate social expectations or norms.",,,Individual,,,,,"<div class=""swiper-slide""><h4>",Cultural Values,"</h4><br><h1 class=""values_badge"" style=""background: #ffcc99;"">",Ca,</h1><br><h2>,Care,</h2><br><p>,"Motivated by caring for others, sacrifice, tenderness, maintaining quality of life.",</p></div>,,,Ca
Obedient,"Dutiful, meeting obligations",Conformity,"Restraint of actions, inclinations, and impulses likely to upset or harm others and violate social expectations or norms.",,,Individual,,,,,"<div class=""swiper-slide""><h4>",Cultural Values,"</h4><br><h1 class=""values_badge"" style=""background: #ffcc99;"">",Cu,</h1><br><h2>,Customary,</h2><br><p>,"Obedience, cooperation, and adherence to social norms, routines, and customs.",</p></div>,,,Cu
Politeness,"Courtesy, good manners",Conformity,"Restraint of actions, inclinations, and impulses likely to upset or harm others and violate social expectations or norms.",,,Individual,,,,,"<div class=""swiper-slide""><h4>",Cultural Values,"</h4><br><h1 class=""values_badge"" style=""background: #ffcc99;"">",Df,</h1><br><h2>,Difference,</h2><br><p>,"Cultivating exploration, deviance, and diversity.",</p></div>,,,Df
Self Discipline,"Self restraint, resistance to temptation",Conformity,"Restraint of actions, inclinations, and impulses likely to upset or harm others and violate social expectations or norms.",,,Individual,,,,,"<div class=""swiper-slide""><h4>",Cultural Values,"</h4><br><h1 class=""values_badge"" style=""background: #ffcc99;"">",Am,</h1><br><h2>,Ambiguity,</h2><br><p>,Tolerant or receptive to uncertainty and willing to engage in ambiguous situations; meaning is something to be interpreted.,</p></div>,,,Am
Enjoying Life,"Enjoying food, sex, leisure, etc.",Hedonism,Pleasure and sensuous gratification for oneself.,,,Individual,,,,,"<div class=""swiper-slide""><h4>",Cultural Values,"</h4><br><h1 class=""values_badge"" style=""background: #ffcc99;"">",Ct,</h1><br><h2>,Certainty,</h2><br><p>,The extent to which people feel threatened by ambiguous situations and have created beliefs and institutions that try to avoid them; meaning is literal.,</p></div>,,,Ct
Pleasure,Gratification of desires,Hedonism,Pleasure and sensuous gratification for oneself.,,,Individual,,,,,"<div class=""swiper-slide""><h4>",Cultural Values,"</h4><br><h1 class=""values_badge"" style=""background: #ffcc99;"">",Hi,</h1><br><h2>,Hierarchy,</h2><br><p>,"Acceptance of an unequal distribution of power, social inequality, and authority.",</p></div>,,,Hi
Self-Indulgent,Doing pleasant things,Hedonism,Pleasure and sensuous gratification for oneself.,,,Individual,,,,,"<div class=""swiper-slide""><h4>",Cultural Values,"</h4><br><h1 class=""values_badge"" style=""background: #ffcc99;"">",Eg,</h1><br><h2>,Egalitarian,</h2><br><p>,"Rewards networked or peer-based collaboration, cooperation, and the development of social equality.",</p></div>,,,Eg
Authority,The right to lead or command,Power,"Social status and prestige, control or dominance over people and resources. Impulses likely to upset or harm others and violate social expectations or norms.",,,Individual,,,,,,,,,,,,,,,,
Preserving My Public Image,Protecting my 'face',Power,"Social status and prestige, control or dominance over people and resources. Impulses likely to upset or harm others and violate social expectations or norms.",,,Individual,,,,,,,,,,,,,,,,
Social Power,"Control over others, dominance",Power,"Social status and prestige, control or dominance over people and resources. Impulses likely to upset or harm others and violate social expectations or norms.",,,Individual,,,,,,,,,,,,,,,,
Social Recognition,"Respect, approval by others",Power,"Social status and prestige, control or dominance over people and resources. Impulses likely to upset or harm others and violate social expectations or norms.",,,Individual,,,,,,,,,,,,,,,,
Wealth,"Material possessions, money",Power,"Social status and prestige, control or dominance over people and resources. Impulses likely to upset or harm others and violate social expectations or norms.",,,Individual,,,,,,,,,,,,,,,,
Clean,"Neat, tidy",Security,"Safety, harmony, and stability of society, of relationships, and of self.",,,Individual,,,,,,,,,,,,,,,,
Family Security,Safety for loved ones,Security,"Safety, harmony, and stability of society, of relationships, and of self.",,,Individual,,,,,,,,,,,,,,,,
Healthy,Not being physically or mentally sick ,Security,"Safety, harmony, and stability of society, of relationships, and of self.",,,Individual,,,,,,,,,,,,,,,,
